OID,Oversight Agency,Operator Name,Location Name,Address,City,State,Postcode,WiFi Dwn,WiFi Up,Wi-Fi Available,Workstation #,Staffed,Mon Open,Mon Close,Mon Open_2,Mon Close_2,Tue Open,Tue Close,Tue Open_2,Tue Close_2,Wed Open,Wed Close,Wed Open_2,Wed Close_2,Thu Open,Thu Close,Thu Open_2,Thu Close_2,Fri Open,Fri Close,Fri Open_2,Fri Close_2,Sat Open,Sat Close,Sat Open_2,Sat Close_2,Sun Open,Sun Close,Language Access,Wheelchair Accessible,Wheelchair Access Notes,OS Accessibility Features,Open Lab Hrs Per Wk,Training  Hours Per Wk,Supplementary Equipment,Device Loaning,Devices Loaned,Access Requirements,Access Notes,URL,BoroCode,Borough,NTA Name
353,Department for the Aging,YOUNG ISRAEL PROGRAMS INC,QUEENS VALLEY NEIGHBORHOOD SENIOR CENTER,141-55 77th Avenue,Queens,NY,11367,44.0,35.0,True,3,False,9:00 AM,4:00 PM,,,9:00 AM,4:00 PM,,,9:00 AM,4:00 PM,,,9:00 AM,4:00 PM,,,9:00 AM,4:00 PM,,,Closed,Closed,,,Closed,Closed,,Y,,False,35:00:00,7.0,Instructional Monitor,,,Must be 60+ years of age to access,,https://www.youngisrael.org/seniorcenters.html,4,Queens,Kew Gardens Hills
294,Department for the Aging,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,COOP CITY NEIGHBORHOOD SENIOR CENTER,2049 Bartow Avenue,Bronx,NY,10475,,,False,6,False,9:00 AM,5:00 PM,,,9:00 AM,5:00 PM,,,9:00 AM,5:00 PM,,,9:00 AM,5:00 PM,,,9:00 AM,5:00 PM,,,Closed,Closed,,,Closed,Closed,,Y,,True,40:00:00,2.0,,,,Must be 60+ years of age to access,,https://www.jasa.org/community/senior-centers,2,Bronx,Co-op City
177,Queens Library,Queens Library,Flushing JBA,41-17 Main Street,Flushing,NY,11355,200.0,200.0,True,22,True,9:00 AM,6:00 PM,,,9:00 AM,6:00 PM,,,9:00 AM,6:00 PM,,,9:00 AM,6:00 PM,,,9:00 AM,6:00 PM,,,Closed,Closed,,,Closed,Closed,"Whenever possible, multilingual staff work at locations where their language expertise is most needed and programming is provided in communities'main languages.  Materials available in Chinese, Spanish, Korean, Russian, Bengali, Gujarati, Hindi, Punjabi, Urdu.  Computer classes in Spanish and Mandarin.",Y,,True,45:00:00,5.6,"Printer, Scanner",,,All ages; library card required for use of public computers and WiFi,,http://www.queenslibrary.org/branch/Flushing,4,Queens,Flushing
379,Department for the Aging,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD NEIGHBORHOOD SENIOR CENTER,58-20 Little Neck Parkway,Queens,NY,11362,61.0,22.0,True,2,False,9:00 AM,4:00 PM,,,9:00 AM,4:00 PM,,,9:00 AM,4:00 PM,,,9:00 AM,4:00 PM,,,9:00 AM,4:00 PM,,,Closed,Closed,,,Closed,Closed,,Y,,False,35:00:00,3.0,Smart Board,,,Must be 60+ years of age to access,,https://www.sfy.org/the-sfy-neighborhood-senior-center,4,Queens,Douglas Manor-Douglaston-Little Neck
392,Department for the Aging,SENIOR CITIZENS LEAGUE OF FLATBUSH INC,SR CITIZENS LEAGUE OF FLATBUSH NBH SR CT,870 Ocean Parkway,Brooklyn,NY,11230,68.0,26.0,True,10,False,8:30 AM,4:00 PM,,,8:30 AM,4:00 PM,,,8:30 AM,4:00 PM,,,8:30 AM,4:00 PM,,,8:30 AM,4:00 PM,,,Closed,Closed,,,Closed,Closed,,Y,,True,37:30:00,1.0,,,,Must be 60+ years of age to access,,https://www.theseniorleague.com,3,Brooklyn,Flatbush
362,Department for the Aging,REGIONAL AID FOR INTERIM NEEDS INC,RAIN PARKCHESTER NEIGHBORHOOD SENIOR CTR,1380 Metropolitan Avenue,Bronx,NY,10462,28.0,5.0,True,12,False,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,Closed,Closed,,,Closed,Closed,"Bilingual staff, offering assistance in: Spanish, Mandarin, Cantonese, Bengali, Russian; programming available in Spanish",Y,,True,40:00:00,8.0,Instructional Monitor,,,Must be 60+ years of age to access,,https://www.raininc.org/your-neighborhood-center,2,Bronx,Parkchester
412,Department for the Aging,Goddard-Riverside Community Center,West 65th Street Center,250 West 65th Street,Manhattan,NY,10023,10.0,9.0,True,15,False,9:00 AM,5:00 PM,,,9:00 AM,5:00 PM,,,9:00 AM,5:00 PM,,,9:00 AM,5:00 PM,,,9:00 AM,5:00 PM,,,Closed,Closed,,,Closed,Closed,,Y,,True,40:00:00,6.0,,,,Must be 60+ years of age to access,,https://www.goddard.org/grcc/programs/olderadults/seniorcenter,1,Manhattan,Lincoln Square
261,Department for the Aging,FORT GREENE COUNCIL,ALBANY NEIGHBORHOOD SENIOR CENTER,196 Albany Avenue,Brooklyn,NY,11213,95.0,36.0,True,12,False,9:00 AM,5:00 PM,,,9:00 AM,5:00 PM,,,9:00 AM,5:00 PM,,,9:00 AM,5:00 PM,,,9:00 AM,5:00 PM,,,Closed,Closed,,,Closed,Closed,,Y,,False,40:00:00,6.0,Printer,,,Must be 60+ years of age to access,,https://www.fortgreenecouncil.org/fgc-nsc,3,Brooklyn,Crown Heights North
276,Department for the Aging,BRONXWORKS INC,BRONXWORKS INNOVATIVE SENIOR CENTER,80 East 181st Street,Bronx,NY,10453,33.0,5.0,True,10,False,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,Closed,Closed,"Bilingual staff, offering assistance in:  Spanish, Mandarin, Cantonese, Bengali, Russian; programming available in Spanish",Y,,True,48:00:00,12.0,Instructional Monitor,,,Must be 60+ years of age to access,,http://www.bronxworks.org/senior-centers,2,Bronx,Mount Hope
237,Department of Parks and Recreation,Department of Parks and Recreation,Hansborough,35 W 134th Street,New York,NY,10037,215.0,22.0,True,19,True,9:00 AM,5:30 PM,,,11:00 AM,7:00 PM,,,11:00 AM,7:00 PM,,,11:00 AM,7:00 PM,,,11:00 AM,7:00 PM,,,8:30 AM,4:30 PM,,,Closed,Closed,"Signage posted in multiple languages, interpreters available upon request.  Google Chrome language access features available on all workstations.",N,,True,48:30:00,14.4,"Printer, Instructional Monitor, Cameras, Audio Production, Chromebooks",,,All ages; Recreation Center membership required,,https://www.nycgovparks.org/facilities/media-labs,1,Manhattan,Central Harlem North-Polo Grounds
